,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2020-09-11,38854.550781,-0.9993,0.109,0.815,0.076,38865.171875,38978.519531,38711.800781,11400.0
2020-09-14,38756.628906,-0.9997,0.133,0.784,0.083,39073.511719,39230.160156,38573.171875,14700.0
2020-09-15,39044.351563,-0.9998,0.135,0.793,0.072,38904.671875,39102.25,38753.679688,11600.0
2020-09-16,39302.851563,-0.9998,0.131,0.792,0.077,39161.011719,39359.511719,39037.960938,11700.0
2020-09-17,38979.851563,-0.9998,0.126,0.81,0.065,39120.640625,39234.808594,38926.339844,11400.0
2020-09-18,38845.820313,-0.9997,0.105,0.848,0.047,39200.421875,39200.421875,38635.730469,14300.0
2020-09-21,38034.140625,-0.9997,0.115,0.817,0.068,38812.691406,38990.761719,37938.53125,15800.0
2020-09-22,37734.078125,-0.9998,0.133,0.8,0.067,38200.710938,38209.96875,37531.140625,15300.0
2020-09-23,37668.421875,-0.9999,0.152,0.765,0.083,38124.941406,38140.070313,37313.089844,15000.0
2020-09-24,36553.601563,-0.9996,0.106,0.839,0.055,37282.179688,37304.261719,36495.980469,13900.0
2020-09-25,37388.660156,-0.9998,0.141,0.776,0.083,36991.890625,37471.171875,36730.519531,13500.0
2020-09-28,37981.628906,-0.9998,0.137,0.781,0.082,37756.25,38035.871094,37544.050781,13600.0
2020-09-29,37973.21875,-0.9994,0.124,0.783,0.093,38176.859375,38235.941406,37831.351563,10600.0
2020-09-30,38067.929688,-0.9998,0.133,0.789,0.078,38068.890625,38236.339844,37828.109375,18400.0
2020-10-01,38697.050781,-0.9998,0.137,0.782,0.081,38410.199219,38738.890625,38410.199219,12900.0
2020-10-05,38973.699219,-0.9989,0.092,0.851,0.057,38956.78125,39263.851563,38819.890625,15500.0
2020-10-06,39574.570313,-0.9998,0.125,0.815,0.06,39336.339844,39623.761719,39191.101563,11300.0
2020-10-07,39878.949219,-0.9999,0.146,0.775,0.079,39633.191406,39968.039063,39450.820313,15000.0
2020-10-08,40182.671875,-0.9994,0.111,0.814,0.075,40204.320313,40468.878906,40062.230469,14400.0
2020-10-09,40509.488281,-0.9998,0.14,0.783,0.077,40226.25,40585.359375,40066.539063,16600.0
2020-10-12,40593.800781,-0.9999,0.128,0.809,0.063,40716.949219,40905.488281,40387.398438,17600.0
2020-10-13,40625.511719,-0.9999,0.148,0.785,0.067,40592.539063,40786.820313,40461.96875,11000.0
2020-10-14,40794.738281,-0.9999,0.15,0.759,0.09,40623.191406,40880.25,40279.550781,15000.0
2020-10-15,39728.410156,-0.9999,0.138,0.786,0.076,41048.050781,41048.050781,39667.46875,30400.0
2020-10-16,39982.980469,-0.9998,0.129,0.787,0.084,39936.609375,40125.710938,39699.421875,11000.0
2020-10-19,40431.601563,-0.9999,0.147,0.779,0.073,40318.570313,40519.480469,40211.21875,12300.0
2020-10-20,40544.371094,-0.9998,0.142,0.763,0.095,40420.289063,40732.011719,40305.589844,12100.0
2020-10-21,40707.308594,-0.9999,0.138,0.788,0.073,40767.140625,40976.019531,40150.480469,16700.0
2020-10-22,40558.488281,-0.9999,0.152,0.762,0.086,40531.308594,40721.570313,40309.050781,13900.0
2020-10-23,40685.5,-0.9997,0.12,0.805,0.075,40728.390625,40811.121094,40590.898438,12400.0
2020-10-26,40145.5,-0.9993,0.115,0.798,0.087,40649.761719,40724.398438,39948.289063,10100.0
2020-10-27,40522.101563,-0.9999,0.149,0.764,0.088,40199.078125,40555.601563,39978.390625,13900.0
2020-10-28,39922.460938,-0.9998,0.142,0.776,0.082,40664.351563,40664.351563,39774.601563,29400.0
2020-10-29,39749.851563,-0.9999,0.15,0.773,0.077,39537.171875,40010.828125,39524.25,19500.0
2020-10-30,39614.070313,-0.9999,0.148,0.763,0.088,39779.820313,39988.25,39241.871094,12000.0
2020-11-02,39757.578125,-0.9996,0.121,0.797,0.082,39880.378906,39968.03125,39334.921875,15400.0
2020-11-03,40261.128906,-0.9998,0.13,0.786,0.083,39990.75,40354.730469,39952.789063,21400.0
2020-11-04,40616.140625,-0.9994,0.108,0.82,0.071,40171.710938,40693.511719,40076.46875,20900.0
2020-11-05,41340.160156,-0.9999,0.137,0.789,0.074,41112.121094,41370.910156,41030.171875,42600.0
2020-11-06,41893.058594,-0.9996,0.105,0.837,0.058,41438.761719,41954.929688,41383.289063,19000.0
2020-11-09,42597.429688,-0.9998,0.131,0.787,0.082,42273.96875,42645.328125,42263.640625,24300.0
2020-11-10,43277.648438,-0.9998,0.126,0.8,0.074,42959.25,43316.441406,42660.089844,28700.0
2020-11-11,43593.671875,0.9974,0.116,0.758,0.127,43444.058594,43708.46875,42970.210938,30300.0
2020-11-12,43357.191406,-0.9993,0.122,0.783,0.094,43291.890625,43543.960938,43127.550781,14500.0
2020-11-13,43443.0,-0.9997,0.135,0.771,0.094,43298.921875,43522.25,43053.371094,24400.0
2020-11-17,43952.710938,-0.9998,0.135,0.782,0.082,44095.851563,44161.160156,43699.21875,20900.0
2020-11-18,44180.050781,-0.9999,0.148,0.788,0.064,43978.578125,44215.488281,43785.78125,18300.0
2020-11-19,43599.960938,-0.9994,0.107,0.82,0.073,43902.238281,44230.0,43518.109375,24100.0
2020-11-20,43882.25,-0.9998,0.13,0.787,0.083,43732.140625,44013.019531,43453.75,17100.0
2020-11-23,44077.148438,-0.9983,0.102,0.815,0.083,44164.171875,44271.148438,43747.21875,17800.0
2020-11-24,44523.019531,-0.9996,0.124,0.787,0.089,44341.191406,44601.628906,44247.121094,17900.0
2020-11-25,43828.101563,-0.9999,0.127,0.813,0.06,44749.730469,44825.371094,43757.96875,19100.0
2020-11-26,44259.738281,-0.9999,0.142,0.786,0.073,43967.589844,44361.78125,43582.398438,14600.0
2020-11-27,44149.71875,-0.9998,0.124,0.799,0.077,44325.03125,44407.28125,43995.410156,15700.0
2020-12-01,44655.441406,-0.9999,0.149,0.775,0.076,44435.828125,44730.789063,44118.101563,16000.0
2020-12-02,44618.039063,-0.9985,0.102,0.82,0.078,44729.519531,44729.640625,44169.96875,16000.0
2020-12-03,44632.648438,-0.9999,0.139,0.797,0.064,44902.019531,44953.011719,44551.421875,30700.0
2020-12-04,45079.550781,-0.9999,0.16,0.75,0.089,44665.910156,45148.28125,44665.910156,27600.0
2020-12-07,45426.96875,-0.9996,0.124,0.786,0.089,45099.921875,45458.921875,45024.46875,18700.0
2020-12-08,45608.511719,-0.9998,0.136,0.789,0.075,45568.800781,45742.230469,45335.171875,18200.0
2020-12-09,46103.5,-0.9998,0.141,0.777,0.081,45891.039063,46164.101563,45792.011719,20700.0
2020-12-10,45959.878906,-0.9996,0.12,0.802,0.078,45999.421875,46043.96875,45685.871094,12700.0
2020-12-11,46099.011719,-0.9999,0.147,0.772,0.081,46060.320313,46309.628906,45706.21875,26300.0
2020-12-14,46253.460938,-0.9993,0.112,0.808,0.081,46284.699219,46373.339844,45951.53125,18400.0
2020-12-15,46263.171875,-0.9998,0.123,0.802,0.074,46287.390625,46350.300781,45841.671875,16400.0
2020-12-16,46666.460938,-0.9994,0.105,0.82,0.075,46573.308594,46704.96875,46402.199219,13100.0
2020-12-17,46890.339844,-0.9997,0.123,0.801,0.076,46774.320313,46992.570313,46627.601563,0.0
